Missouri,118.20783608833,105.43169727947,0.78841242386895,13–6,13,19,57.2,49.5,40.6,34.5,18.5,17.2,35.8,31.1,68.7,59.3,46.2,35.9,35.6,10.8,9,52.8,53.3,37.4,44.7,66.305334201774,79.03336029114435,82.34199999999998,2.311137772445511,2026,0,0,63.6178,,68,73.8,1.175,1.053,25.373410526316
VCU,120.04327934516,107.24971781095,0.78515473496006,13–6,13,19,54.8,49.6,44.1,36.5,15.6,18.2,33.2,30,71.3,54.7,48.4,36.6,34.7,11.5,9.2,54.1,50.9,45.5,32,69.556665584863,77.71030756442228,80.96350000000001,1.7026594681063782,2026,0,0,22.336880000000004,,74,73.5,1.19,1.037,21.607178947368
Minnesota,113.79691968126,101.7107429604,0.78435852124191,10–10,10,20,52.5,49.6,41.3,30.6,16.6,17.3,30,29.3,64.6,55.3,49.1,32.6,33.5,8.7,12.8,74.5,58.1,44.9,41.2,63.237173700041,77.83785974868262,79.77799999999999,1.999000199960009,2026,0,0,15.6922,,69.3,72.3,1.096,1.042,30.13159
California,114.19735106734,102.25790330718,0.78073336319179,13–5,13,18,53.3,48.2,37.5,33.6,14.8,17.2,26.6,31.8,68.8,52,50.2,36.8,30.2,10.3,10.3,57.7,56.8,42.4,41.6,66.689870508069,77.32956181855583,80.789,2.2767446510697855,2026,0,0,60.8174,,78.3,66.9,1.133,1.024,22.509416666667
Boise St.,113.55305419332,101.72838257043,0.77981419661134,10–7,10,17,49.7,51.5,43,36,17.3,16.1,30.6,24.9,68.1,49.7,52.5,33.1,33.1,5.8,10.2,50.2,45.5,42.4,36,66.188320214228,78.82830957230141,81.0345,2.0138055222088846,2026,0,0,31.535159999999998,,76.7,70.9,1.076,1.046,27.469805882353
Yale,122.78383692457,110.05912525637,0.7787140442251,13–3,13,16,56.5,51.6,37.2,32.1,13.9,16.3,35.3,30.4,67.2,53.4,52.7,41.4,33.6,9.5,10.3,55.1,49.1,34.8,46.5,65.788042637625,77.45896846940907,79.69749999999999,1.9590000000000005,2026,0,0,10.013840000000002,,78.2,71.5,1.235,1.089,14.48455
Syracuse,114.66653212305,102.78510927427,0.77867449177981,12–8,12,20,53.2,46.9,39.5,33.6,16.7,19.4,30.4,32.6,68.4,54.9,46.3,33.5,32,16.1,8.9,49.3,52.7,36.3,34,67.507299067886,78.20713557594293,80.86400000000002,1.8266,2026,0,0,46.33539999999999,,63.7,72.3,1.092,0.996,22.83184
Wake Forest,115.15702157143,103.24284086079,0.77832747434,11–9,11,20,52.5,51.5,32.6,38,16.2,21,31,34.1,71.9,53.8,56.1,34,30.8,11.3,7.8,54.5,60.5,44.9,47,69.189587495447,77.95146235220909,80.03300000000002,2.0858000000000003,2026,0,0,36.093920000000004,,75.9,74.3,1.11,1.058,30.49855
South Florida,116.44969825005,104.4309964101,0.77777174105491,11–7,11,18,51.1,48.9,42.4,43.5,15.7,18.7,37.1,32.2,74.7,51.1,46.7,34,35.2,11.9,14.7,58.8,48.9,44.9,36.2,71.87522575502,77.13022872450033,79.7235,2.2196000000000002,2026,0,0,32.24964,,73.4,70.3,1.153,1.05,20.173544444444
Stanford,115.11199491272,103.27233406017,0.7769818875667,14–5,14,19,50.5,51.4,41.8,40.1,16.3,19.8,33.2,28.8,69.2,49.7,52.1,34.4,33.3,8.9,9.7,48.6,43.5,43.3,32.3,67.548776960993,77.44778284293409,81.08300000000001,1.8369999999999997,2026,0,0,33.050000000000004,,72.1,75.5,1.104,1.042,24.372331578947
Oklahoma St.,117.83642876063,106.10064098046,0.76967160788389,14–5,14,19,53.9,51.6,39.2,30.8,16.7,17,31.3,28.9,76.1,54.5,51.9,35.2,34.1,8.2,9.7,51.7,60.1,34.7,45.3,72.874440599286,77.53224090231964,80.792,1.916833266693322,2026,0,0,43.48016,,75.2,69.9,1.143,1.054,22.600626315789
Belmont,118.61568727767,107.04630657685,0.76498613741536,17–3,17,20,60.1,47.4,34.1,28.4,19.1,18.3,29,29.3,70.5,60.3,44.6,39.9,33.4,12.2,9.2,59.6,55.1,42.8,50.6,68.787608165159,77.68301189987687,80.82199999999997,1.4747999999999992,2026,0,0,5.097200000000004,,67.6,73.6,1.154,0.999,11.36787
Miami OH,119.22989592766,107.7648774241,0.7618175204714,17–0,17,17,60.4,50.5,39.5,33.2,15.1,18.4,25.1,27.2,71.8,62.2,51.5,38.9,32.6,9.3,7.9,53.1,48.2,45.8,37.3,70.550251114881,77.4946861840786,80.36649999999997,1.704777133719769,2026,0,0,11.143040000000004,,78,76.5,1.218,1.041,9.3307470588235
Oregon,116.82448480528,105.66069782922,0.76043326726526,8–11,8,19,50.3,50.9,36,32.9,18.5,16.3,36.4,31.2,67.6,50.3,51.3,33.5,33.5,12.7,9.7,58.1,50,43.8,40.9,65.827769832131,78.66445649989952,82.34199999999998,2.301,2026,0,0,50.68499999999998,,69.9,77.5,1.086,1.091,30.7135
Stephen F. Austin,111.70523624971,101.06399265927,0.75974121812921,14–3,14,17,51.4,45.1,29.2,34.8,15,16.9,35.9,29,66.6,51.1,46.2,34.5,28.7,9.7,10,49.6,44.3,40.7,32.9,65.343547925393,75.53095723014258,78.3855,2.218556288742251,2026,0,0,0.20004000000000285,,66.2,70.8,1.128,0.969,9.4455352941177
Illinois St.,113.17049652612,102.85542857311,0.75008537966686,13–7,13,20,54,48.6,34.5,36.8,16.3,17.3,30.7,24.8,68.2,55.6,48.4,34.5,32.7,6.3,7.6,49.4,49.3,41.6,35.7,66.466347601378,76.62227652209326,80.1395,1.9449999999999998,2026,0,0,1.5665600000000026,,70.6,67.3,1.123,0.991,13.21505
George Washington,119.55847311808,108.73381957301,0.74864167823747,11–7,11,18,56,51.9,38.8,34.6,17.2,18.1,36,27.5,71.4,57.7,54.1,35.9,32.7,10.4,11.2,54.2,60.9,44.6,43.2,70.11793844856,77.93475609756098,81.32300000000001,2.2848,2026,0,0,20.1648,,73.3,70.8,1.193,1.046,16.07775
Providence,123.21124030469,112.19158908579,0.74601319096251,9–11,9,20,55,51.8,36.4,32.4,15.5,14,31.7,32.1,73.6,56.5,48.9,35.2,37.3,10.9,8.2,51.5,56.4,41.2,40.6,72.001488307329,78.02327030957824,80.1515,1.6924615076984608,2026,0,0,46.5164,,78,73.1,1.175,1.135,26.81742
McNeese St.,117.80637540199,107.34220177438,0.74454668495902,13–4,13,17,51.7,50.2,37.8,41.9,14.7,24.1,36.9,36.5,67.3,53.8,49.4,31.9,34.1,16.3,7.5,47.5,60.1,35.2,47.9,66.012222795827,77.09361189232624,79.70800000000001,1.9386000000000005,2026,0,0,47.40348000000001,,76.1,70.8,1.161,1.031,18.350282352941
